区町名,平均緯度,平均経度
港区三田,35.64691561607143,139.7403255535714
港区元赤坂,35.678120739130435,139.72930326086956
港区元麻布,35.654942972972975,139.73011364864865
港区六本木,35.66304154032258,139.73349642741937
港区北青山,35.66920808333334,139.71536491666666
港区南青山,35.6657125,139.71934561340206
港区南麻布,35.650035921052634,139.73007480701753
港区台場,35.630170392857146,139.77550814285715
港区愛宕,35.664185,139.748714125
港区新橋,35.664537676923075,139.75575211282052
港区東新橋,35.66216451612903,139.7581747096774
港区東麻布,35.656683025974026,139.7415928181818
港区浜松町,35.656827239130436,139.7561053043478
港区海岸,35.6458955974026,139.75774355844155
港区港南,35.63000268181818,139.747656875
港区白金,35.644208438356166,139.72779644520546
港区白金台,35.63712588429752,139.72535354545457
港区芝,35.65013720886076,139.7492232721519
港区芝公園,35.65733683333333,139.74914626190477
港区芝大門,35.65681711111111,139.75368994444443
港区芝浦,35.64349457471264,139.75038994252873
港区虎ノ門,35.665791514285715,139.74679810476192
港区西新橋,35.66640103296704,139.7520460989011
港区西麻布,35.65953511016949,139.7230834237288
港区赤坂,35.67148241379311,139.73580251149426
港区高輪,35.634412721854304,139.73507931125826
港区麻布十番,35.65491789473684,139.73529666666667
港区麻布台,35.66030748148148,139.74069159259258
港区麻布永坂町,35.658763666666665,139.73763066666666
港区麻布狸穴町,35.65915914285714,139.73940678571427
